item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
12,1,P111,pet,204.11,656.2388841,1916.556176,300,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
3,1,P111,pad,183.96,959.2095639,1796.010316,320,æ,AE,voiceless,voiced,voiceless_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
9,1,P111,bed,178.29,672.331819,1885.770379,270,ɛ,EH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
5,1,P111,bod,175.75,837.53463,1278.922694,310,ɑ,AA,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
33,1,P111,cot,182.28,891.851176,1406.493616,320,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
25,1,P111,booed,180.86,386.3151736,1800.954557,320,u,UW,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
26,1,P111,boot,216.1,405.1238023,1790.226894,300,u,UW,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
26,2,P111,boot,168.52,404.401989,1838.372294,300,u,UW,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
20,1,P111,pit,201.28,538.7237671,2092.087354,250,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
13,1,P111,bead,182.07,357.3225381,2660.937591,320,i,IY,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
10,1,P111,bet,181.92,694.1375601,1844.818446,360,ɛ,EH,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
9,2,P111,bed,179.04,654.9843359,1938.462319,340,ɛ,EH,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
23,1,P111,poat,182.22,767.1382108,1510.051091,340,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
24,1,P111,pode,188.22,535.3755368,1316.227443,460,o,OW,voiceless,voiced,voiceless_voiced,notreal,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
6,1,P111,bot,173.6,842.6361359,1295.029688,380,ɑ,AA,voiced,voiceless,voiced_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
20,2,P111,pit,198.07,573.0375673,2321.104805,300,ɪ,IH,voiceless,voiceless,voiceless_voiceless,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
25,2,P111,booed,182.69,394.6265711,1803.948824,320,u,UW,voiced,voiced,voiced_voiced,real,22,3.5,Female,White,ND,ND,0to5y,English,no,NA,0,Spanish
