"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Oahu visitors","Total Food and beverage","Daily spending ($)","dollar","","43.24","48.32","41.82","39.95","40.59","39.46","38.21","37.95","38.13","41.27","","46.56","50.27","45.89"
"Oahu visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","13.94","15.32","16.15","16.36","16.65","16.95","17.05","17.66","18.24","19.25","","19.76","23.88","21.75"
"Oahu visitors","Total Transportation","Daily spending ($)","dollar","","19.18","20.17","15.39","14.73","14.67","14.71","14.50","14.64","15.65","17.11","","21.33","21.32","17.51"
"Oahu visitors","Total Shopping","Daily spending ($)","dollar","","23.22","24.62","41.60","36.46","37.38","34.01","32.12","32.75","31.35","22.47","","30.87","32.39","27.91"
"Oahu visitors","Lodging","Daily spending ($)","dollar","","68.17","77.28","92.18","94.83","92.76","89.10","88.25","87.16","85.38","87.31","","89.70","105.09","97.85"
"Oahu visitors","All other expenses","Daily spending ($)","dollar","","7.31","6.96","6.80","7.56","7.43","8.03","8.43","7.97","8.12","7.20","","4.01","7.41","8.53"
"Visitors from US West","Total Food and beverage","Daily spending ($)","dollar","30.76","32.67","33.72","34.38","34.03","35.38","34.51","36.17","37.40","37.75","37.20","","40.95","45.18","47.80"
"Hawaii ISL visitors","Total Food and beverage","Daily spending ($)","dollar","","29.67","32.20","32.42","34.33","33.96","32.14","36.32","37.11","38.02","39.25","","34.99","40.36","45.71"
"Visitors from US West","Total Entertainment & Recreation","Daily spending ($)","dollar","12.84","12.59","12.96","13.35","12.96","14.29","14.08","14.69","15.86","15.76","15.14","","16.37","19.28","19.23"
"Hawaii ISL visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","15.77","16.32","17.26","19.04","18.10","16.97","18.16","20.29","19.54","17.26","","16.94","18.95","19.88"
"Visitors from US West","Total Transportation","Daily spending ($)","dollar","15.44","16.33","16.37","17.21","17.02","16.88","16.29","18.15","19.20","19.46","18.59","","23.39","24.99","22.23"
"Hawaii ISL visitors","Total Transportation","Daily spending ($)","dollar","","21.03","21.21","24.06","24.30","25.03","23.84","30.53","29.79","28.31","26.20","","24.34","29.77","29.74"
"Visitors from US West","Total Shopping","Daily spending ($)","dollar","16.32","16.08","16.16","16.40","15.63","16.16","16.33","16.24","17.00","16.64","16.74","","20.94","21.86","21.69"
"Hawaii ISL visitors","Total Shopping","Daily spending ($)","dollar","","15.32","16.36","16.93","16.15","15.39","13.86","15.24","16.92","15.87","14.87","","12.63","15.11","16.97"
"Visitors from US West","Lodging","Daily spending ($)","dollar","54.44","58.15","60.80","67.43","72.61","73.16","76.28","78.39","80.61","82.14","82.89","","90.51","105.98","108.83"
"Hawaii ISL visitors","Lodging","Daily spending ($)","dollar","","54.97","58.77","62.77","70.69","73.63","68.03","74.13","74.14","75.99","74.68","","75.21","88.62","95.97"
"Visitors from US West","All other expenses","Daily spending ($)","dollar","3.45","4.11","3.99","3.50","4.25","4.31","4.53","4.29","4.22","4.04","4.31","","3.30","4.54","5.61"
"Hawaii ISL visitors","All other expenses","Daily spending ($)","dollar","","7.17","5.86","5.45","6.41","6.07","5.54","5.27","5.93","6.02","6.18","","3.46","5.04","7.78"
"Visitors from US East","Total Food and beverage","Daily spending ($)","dollar","35.94","37.97","40.75","41.65","41.50","42.10","40.04","40.68","42.39","42.08","43.16","","44.50","48.88","51.63"
"Maui visitors","Total Food and beverage","Daily spending ($)","dollar","","36.60","37.35","37.84","37.72","41.04","40.05","42.72","42.93","42.03","42.81","","41.20","46.16","55.86"
"Visitors from US East","Total Entertainment & Recreation","Daily spending ($)","dollar","18.06","17.57","18.74","19.12","19.29","20.66","19.51","20.31","21.76","22.14","21.85","","21.80","26.30","26.90"
"Maui visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","16.55","16.54","16.43","14.53","17.57","16.25","17.42","17.82","17.91","17.38","","15.88","20.19","23.73"
"Visitors from US East","Total Transportation","Daily spending ($)","dollar","18.95","20.63","20.32","21.49","20.79","20.88","20.09","22.01","23.22","23.28","22.10","","25.90","27.31","24.31"
"Maui visitors","Total Transportation","Daily spending ($)","dollar","","18.65","18.64","20.08","20.69","19.80","19.64","22.37","23.56","24.71","21.78","","23.69","26.52","26.03"
"Visitors from US East","Total Shopping","Daily spending ($)","dollar","19.47","18.94","19.82","19.70","19.33","19.38","18.62","18.50","19.36","18.77","18.89","","20.30","22.34","22.85"
"Maui visitors","Total Shopping","Daily spending ($)","dollar","","18.25","18.60","18.06","16.90","18.82","17.64","17.86","17.59","17.33","18.15","","16.73","17.81","21.11"
"Visitors from US East","Lodging","Daily spending ($)","dollar","64.15","66.54","72.06","80.34","87.01","91.15","87.41","89.63","89.58","92.64","95.39","","96.20","117.91","121.89"
"Maui visitors","Lodging","Daily spending ($)","dollar","","73.80","76.64","87.08","93.61","97.02","96.48","103.69","102.90","104.06","104.81","","101.37","127.95","151.12"
"Visitors from US East","All other expenses","Daily spending ($)","dollar","9.03","9.40","9.24","10.07","11.00","10.69","12.10","10.57","12.08","11.26","11.20","","3.70","9.41","14.98"
"Maui visitors","All other expenses","Daily spending ($)","dollar","","8.19","5.90","6.03","6.90","6.95","7.51","6.85","7.38","6.52","6.77","","3.02","5.68","9.22"
