Group,Category,Indicator,Units,Year,Spending
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2010,43.24
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2011,48.32
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2012,41.82
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2013,39.95
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2014,40.59
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2015,39.46
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2016,38.21
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2017,37.95
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2018,38.13
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2019,41.27
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2021,46.56
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2022,50.27
Oahu visitors,Total Food and beverage,Daily spending ($),dollar,2023,45.89
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2010,13.94
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2011,15.32
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2012,16.15
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2013,16.36
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2014,16.65
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2015,16.95
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2016,17.05
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2017,17.66
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2018,18.24
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2019,19.25
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2021,19.76
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2022,23.88
Oahu visitors,Total Entertainment & Recreation,Daily spending ($),dollar,2023,21.75
Oahu visitors,Total Transportation,Daily spending ($),dollar,2010,19.18
Oahu visitors,Total Transportation,Daily spending ($),dollar,2011,20.17
Oahu visitors,Total Transportation,Daily spending ($),dollar,2012,15.39
Oahu visitors,Total Transportation,Daily spending ($),dollar,2013,14.73
Oahu visitors,Total Transportation,Daily spending ($),dollar,2014,14.67
Oahu visitors,Total Transportation,Daily spending ($),dollar,2015,14.71
Oahu visitors,Total Transportation,Daily spending ($),dollar,2016,14.5
Oahu visitors,Total Transportation,Daily spending ($),dollar,2017,14.64
Oahu visitors,Total Transportation,Daily spending ($),dollar,2018,15.65
Oahu visitors,Total Transportation,Daily spending ($),dollar,2019,17.11
Oahu visitors,Total Transportation,Daily spending ($),dollar,2021,21.33
Oahu visitors,Total Transportation,Daily spending ($),dollar,2022,21.32
Oahu visitors,Total Transportation,Daily spending ($),dollar,2023,17.51
